Halobacterium sp. NRC-1, complete genome
Product Name	Start	End	Strand	Length	Gi	GeneID	Locus	Locus_tag	COG(s)
hypothetical protein VNG0765H 	577924	578100	-	58	15789934	1447544	-	VNG0765H	-
Prp2 	578203	579231	+	342	15789935	1447545	prp2	VNG0766G	COG0704P
hypothetical protein VNG0767H 	579298	579477	+	59	15789936	1447546	-	VNG0767H	-
hypothetical protein VNG0768H 	579518	579742	+	74	15789937	1447547	-	VNG0768H	-
hypothetical protein VNG0769H 	579788	580198	+	136	15789938	1447548	-	VNG0769H	COG3427S
AldY2 	580451	581962	-	503	15789939	1447549	aldY2	VNG0771G	COG1012C
hypothetical protein VNG0772a 	582038	583024	-	328	16554472	1449024	-	VNG0772a	COG3642T
Acd2 	583046	584185	+	379	15789941	1447550	acd2	VNG0775G	COG1960I
TaqD 	584205	584645	-	146	15789942	1447551	taqD	VNG0777G	COG0615MI
hypothetical protein VNG0778C 	584642	585127	-	161	15789943	1447552	-	VNG0778C	COG1310R
hypothetical protein VNG0779C 	585235	587049	+	604	15789944	1447553	-	VNG0779C	COG1107L
hypothetical protein VNG0780H 	586952	587128	+	58	15789945	1447554	-	VNG0780H	-
hypothetical protein VNG0782H 	588702	590003	-	433	15789946	1447555	-	VNG0782H	COG1413C
CDP-diacylglycerol-serine O-phosphatidyltransferase 	590056	590733	-	225	15789947	1447556	pssA	VNG0784G	COG1183I
Pcy 	590830	591279	+	149	15789948	1447557	pcy	VNG0786G	COG3794C
30S ribosomal protein S3Ae 	591340	591960	-	206	15789949	1447558	rps3e	VNG0787G	COG1890J
hypothetical protein VNG0788H 	591957	592118	-	53	15789950	1447559	-	VNG0788H	-
hypothetical protein VNG0789C 	592199	593302	-	367	15789951	1447560	-	VNG0789C	-
30S ribosomal protein S15P 	593307	593774	-	155	15789952	1447561	rps15p	VNG0790G	COG0184J
Htr6 	594361	596730	-	789	15789953	1447563	htr6	VNG0793G	COG0840NT
ABC transporter (lipoprotein) 	596727	597695	-	322	15789954	1447564	yufN	VNG0794G	COG1744R
HcpC 	598271	598744	+	157	15789955	1447565	hcpC	VNG0795G	COG3794C
cystathionine gamma synthase/lyase 	598879	600096	+	405	15789956	1447566	cgs	VNG0796G	COG0626E
hypothetical protein VNG0798H 	600156	601424	+	422	15789957	1447567	-	VNG0798H	COG2837P
hypothetical protein VNG0799C 	601488	602189	+	233	15789958	1447568	-	VNG0799C	COG1136V
hypothetical protein VNG0800H 	602186	602782	+	198	15789959	1447569	-	VNG0800H	-
hypothetical protein VNG0801C 	603037	603327	-	96	15789960	1447571	-	VNG0801C	COG1826U
hypothetical protein VNG0804C 	603453	604346	+	297	15789961	1447572	-	VNG0804C	COG3294S
Htr4 	604372	606708	-	778	15789962	1447573	htr4	VNG0806G	COG0840NT
GabD 	606864	608225	-	453	15789963	1447574	gabD	VNG0808G	COG1012C
hypothetical protein VNG0810H 	608215	608895	+	226	15789964	1447575	-	VNG0810H	-
hypothetical protein VNG0811H 	608896	609288	-	130	15789965	1447576	-	VNG0811H	-
Htr18 	609588	611960	+	790	15789966	1447577	htr18	VNG0812G	COG0840NT
PotD 	611957	613207	+	416	15789967	1447578	potD	VNG0813G	COG0687E
hypothetical protein VNG0814C 	613227	613859	-	210	15789968	1447579	-	VNG0814C	COG0451MG
YfmJ 	613864	615006	+	380	15789969	1447580	yfmJ	VNG0815G	COG2130R
chitinase 	615200	616840	+	546	15789970	1447581	chi	VNG0816G	COG3325G
hypothetical protein VNG0818C 	616933	618651	+	572	15789971	1447582	-	VNG0818C	COG3325G
hypothetical protein VNG0819C 	618648	620333	+	561	15789972	1447583	-	VNG0819C	COG3979R
hypothetical protein VNG0821C 	620587	621240	-	217	15789973	1447585	-	VNG0821C	COG2226H
hypothetical protein VNG0822C 	621237	622844	-	535	15789974	1447586	-	VNG0822C	COG2064NU
GspE2 	623369	625054	-	561	15789975	1447587	gspE2	VNG0823G	COG0630NU
Gdb 	625085	625786	-	233	15789976	1447588	gdb	VNG0824G	COG0746H
hypothetical protein VNG0825C 	625866	626312	-	148	15789977	1447589	-	VNG0825C	COG1763H
hypothetical protein VNG0826C 	626458	627132	+	224	15789978	1447590	-	VNG0826C	COG3413R
hypothetical protein VNG0828H 	627213	627452	+	79	15789979	1447591	-	VNG0828H	-
DmsA 	627445	629958	+	837	15789980	1447592	dmsA	VNG0829G	COG0243C
HmoA 	629955	630743	+	262	15789981	1447593	hmoA	VNG0830G	COG0437C
Moz 	630743	632050	+	435	15789982	1447594	moz	VNG0831G	COG5557C
hypothetical protein VNG0832C 	632047	632625	+	192	15789983	1447595	-	VNG0832C	COG3381R
hypothetical protein VNG0834C 	632698	633588	+	296	15789984	1447596	-	VNG0834C	COG1422S
Idr2 	633600	633962	-	120	15789985	1447597	idr2	VNG0835G	COG1321K
hypothetical protein VNG0836H 	635667	636047	+	126	15789986	1447598	-	VNG0836H	-
hypothetical protein VNG0837H 	636909	637199	+	96	15789987	1447599	-	VNG0837H	-
SsrA 	637192	638265	+	357	15789988	1447600	ssrA	VNG0838G	COG4974L
hypothetical protein VNG0840H 	638529	638633	-	34	15789989	1447601	-	VNG0840H	-
IcfA 	638908	639570	-	220	15789990	1447602	icfA	VNG0841G	COG0288P
hypothetical protein VNG0845C 	639672	640481	-	269	15789991	1447603	-	VNG0845C	COG2226H
hypothetical protein VNG0846C 	640617	642092	+	491	15789992	1447604	-	VNG0846C	-
hypothetical protein VNG0847H 	642117	643022	-	301	15789993	1447605	-	VNG0847H	-
hypothetical protein VNG0849C 	643071	644420	-	449	15789994	1447606	-	VNG0849C	COG1196D
hypothetical protein VNG0851C 	644507	645466	-	319	15789995	1447607	-	VNG0851C	COG2220R
hypothetical protein VNG0852C 	645426	646076	+	216	15789996	1447608	-	VNG0852C	COG3413R
hypothetical protein VNG0853C 	646085	646483	-	132	15789997	1447609	-	VNG0853C	COG3679S
hypothetical protein VNG0854C 	646591	647625	+	344	15789998	1447610	-	VNG0854C	COG1736J
RNA methylase 	647674	648294	+	206	16554473	1449025	-	VNG0857Cm	COG2263J
hypothetical protein VNG0858C 	648285	650081	-	598	15790000	1447611	-	VNG0858C	-
DNA-directed RNA polymerase subunit L 	650181	650465	+	94	15790001	1447612	rpoL	VNG0860G	COG1761K
hypothetical protein VNG0862G 	650472	651293	-	273	15790002	1447613	hisF	VNG0862G	COG0107E
hypothetical protein VNG0861H 	651537	651836	+	99	15790003	1447614	-	VNG0861H	-
hypothetical protein VNG0863H 	651889	652026	+	45	15790004	1447615	-	VNG0863H	-
hypothetical protein VNG0864G 	652034	654136	-	700	15790005	1447616	purL	VNG0864G	COG0046F
hypothetical protein VNG0865C 	654315	654935	+	206	15790006	1447617	-	VNG0865C	COG0613R
AsnA 	654935	656017	+	360	15790007	1447618	asnA	VNG0867G	COG0367E
hypothetical protein VNG0868H 	656033	656506	-	157	15790008	1447619	-	VNG0868H	COG1051F
TfbD 	656539	657525	-	328	15790009	1447620	tfbD	VNG0869G	COG1405K
hypothetical protein VNG0870G 	657575	657961	+	128	15790010	1447621	gatC	VNG0870G	COG0721J
hypothetical protein VNG0872G 	657961	659232	+	423	15790011	1447622	gatA	VNG0872G	COG0154J
YkhA 	659240	659707	-	155	15790012	1447623	ykhA	VNG0873G	COG1607I
hypothetical protein VNG0874G 	659810	661324	+	504	15790013	1447624	traB	VNG0874G	COG1916S
Zn-dependent protease 	661336	661929	+	197	16554474	1449026	-	VNG0875Cm	COG1994R
phosphoribosylaminoimidazole synthetase 	661987	662982	+	331	15790015	1447625	purM	VNG0876G	COG0150F
transcription regulator 	663068	663607	-	179	16554475	1449027	-	VNG0878Gm	COG3620K
hypothetical protein VNG0879C 	663648	664013	-	121	15790017	1447626	-	VNG0879C	COG1885S
PsmA 	664212	664979	+	255	15790018	1447627	psmA	VNG0880G	COG0638O
DNA ligase 	665121	666806	+	561	15790019	1447628	lig	VNG0881G	COG1793L
p-nitrophenyl phosphatase 	666861	667634	+	257	16554476	1449028	PHO2	VNG0882Gm	COG0647G
hypothetical protein VNG0883H 	667700	668494	+	264	15790021	1447629	-	VNG0883H	COG2220R
DNA topoisomerase VI subunit A 	668445	669545	-	366	15790022	1447630	top6A	VNG0884G	COG1697L
DNA topoisomerase VI subunit B 	669542	671956	-	804	15790023	1447631	top6B	VNG0885G	COG1389L
DNA gyrase subunit B 	672176	674011	+	611	15790024	1447632	gyrB	VNG0887G	COG0187L
DNA gyrase subunit A 	674013	676487	+	824	15790025	1447633	gyrA	VNG0889G	COG0188L
Imd2 	676676	677209	+	177	15790026	1447634	imd2	VNG0890G	COG2524K
NADH dehydrogenase 	677255	678424	+	389	15790027	1447635	yjlD	VNG0891G	COG1252C
hypothetical protein VNG0892H 	678467	678622	+	51	15790028	1447636	-	VNG0892H	-
hypothetical protein VNG0892a 	678619	679143	+	174	16554477	1449029	-	VNG0892a	COG2320S
Udp2 	679140	679961	-	273	15790029	1447637	udp2	VNG0893G	COG2820F
cytidine deaminase 	680015	680419	-	134	15790030	1447638	cda	VNG0896G	COG0295F
RbsC1 	680470	681555	-	361	15790031	1447639	rbsC1	VNG0897G	COG1079R
RbsC2 	681548	682771	-	407	15790032	1447640	rbsC2	VNG0898G	COG4603R
RbsA 	682768	684288	-	506	15790033	1447641	rbsA	VNG0901G	COG3845R
hypothetical protein VNG0903C 	684313	685362	-	349	15790034	1447642	-	VNG0903C	COG1744R
Pmu2 	685465	686847	-	460	15790035	1447643	pmu2	VNG0905G	COG1109G
hypothetical protein VNG0906H 	686893	687372	-	159	15790036	1447644	-	VNG0906H	-
hypothetical protein VNG0907H 	687546	687692	+	48	15790037	1447645	-	VNG0907H	-
hypothetical protein VNG0908G 	687787	689355	+	522	15790038	1447646	putP	VNG0908G	COG0591ER
hypothetical protein VNG0909H 	689345	689866	+	173	15790039	1447647	-	VNG0909H	-
hypothetical protein VNG0911H 	689936	690208	+	90	15790040	1447648	-	VNG0911H	-
hypothetical protein VNG0913H 	690192	691643	+	483	15790041	1447649	-	VNG0913H	-
hypothetical protein VNG0914H 	691613	692713	-	366	15790042	1447650	-	VNG0914H	-
HakA 	692869	694062	+	397	15790043	1447651	hakA	VNG0915G	COG3844E
Ark 	694068	696365	-	765	15790044	1447652	ark	VNG0916G	COG0642T
Hrg 	696355	696996	-	213	15790045	1447653	hrg	VNG0917G	COG2204T
hypothetical protein VNG0918H 	697055	697939	-	294	15790046	1447654	-	VNG0918H	COG3676L
hypothetical protein VNG0919G 	698097	698786	+	229	15790047	1447655	gst	VNG0919G	COG0463M
hypothetical protein VNG0920H 	698755	700821	-	688	15790048	1447656	-	VNG0920H	-
PotA1 	700821	701954	-	377	15790049	1447657	potA1	VNG0921G	COG3842E
SfuB 	701947	703560	-	537	15790050	1447658	sfuB	VNG0923G	COG1178P
Ibp 	703563	704714	-	383	15790051	1447659	ibp	VNG0924G	COG1840P
hypothetical protein VNG0925C 	704811	705812	-	333	15790052	1447660	-	VNG0925C	-
hypothetical protein VNG0926H 	705811	705990	+	59	15790053	1447661	-	VNG0926H	-
hypothetical protein VNG0927C 	706028	706747	-	239	15790054	1447662	-	VNG0927C	-
MAPK-activated protein kinase 	706744	708309	-	521	15790055	1447663	mak	VNG0928G	COG0515RTKL
YvbT 	708396	709412	+	338	15790056	1447664	yvbT	VNG0930G	COG2141C
3-ketoacyl-CoA thiolase 	709490	710641	+	383	15790057	1447665	acaB2	VNG0931G	COG0183I
hypothetical protein VNG0932C 	710638	711030	+	130	15790058	1447666	-	VNG0932C	COG1545R
NADH-dependent flavin oxidoreductase 	711047	712147	-	366	15790059	1447667	yqjM	VNG0933G	COG1902C
hypothetical protein VNG0934H 	712274	712447	-	57	15790060	1447668	-	VNG0934H	-
NADH oxidase 	712502	713143	-	213	15790061	1447669	noxC	VNG0935G	COG0778C
hypothetical protein VNG0936C 	713283	714095	-	270	15790062	1447670	-	VNG0936C	COG0388R
Gap 	714164	715606	+	480	15790063	1447671	gap	VNG0937G	COG1012C
GufA 	715619	716419	-	266	15790064	1447672	gufA	VNG0938G	COG0428P
Acetyl-CoA synthetase 	716669	718771	+	700	16554478	1449030	ACS3	VNG0940Gm	COG1042C
hypothetical protein VNG0941C 	718768	719832	+	354	15790066	1447673	-	VNG0941C	COG0857R
hypothetical protein VNG0942G 	719845	720243	-	132	15790067	1447674	cheW2	VNG0942G	COG0835NT
hypothetical protein VNG0943C 	720331	720678	+	115	15790068	1447675	-	VNG0943C	-
hypothetical protein VNG0945H 	720747	721028	+	93	15790069	1447676	-	VNG0945H	-
MinD1 	721030	722001	-	323	15790070	1447677	minD1	VNG0946G	COG0455D
flagellar assembly protein J 	722046	723791	-	581	15790071	1447678	fapJ	VNG0947G	COG1955NU
GspE3 	723798	725687	-	629	15790072	1447679	gspE3	VNG0949G	COG0630NU
ATPase involved in flagella biogenesis 	725699	726469	-	256	16554479	1449031	flaH	VNG0950Gm	COG2874NU
putative flagellar protein G 	726466	726921	-	151	16554480	1449032	-	VNG0950a	COG3354N
hypothetical protein VNG0953C 	726922	727359	-	145	15790074	1447680	-	VNG0953C	COG3353N
hypothetical protein VNG0954C 	727343	728857	-	504	15790075	1447681	-	VNG0954C	COG3351N
FapE 	728962	729432	-	156	15790076	1447682	fapE	VNG0955G	COG3351N
Htr15 	729429	731339	-	636	15790077	1447683	htr15	VNG0958G	COG0840NT
hypothetical protein VNG0959H 	731395	731634	-	79	15790078	1447684	-	VNG0959H	-
FlaB1 	731799	732380	+	193	15790079	1447685	flaB1	VNG0960G	COG1681N
FlaB2 	732464	732982	+	172	15790080	1447686	flaB2	VNG0961G	COG1681N
FlaB3 	733066	733575	+	169	15790081	1447687	flaB3	VNG0962G	COG1681N
CpcE 	733804	734865	+	353	15790082	1447688	cpcE	VNG0963G	COG1413C
hypothetical protein VNG0964C 	735009	735881	+	290	15790083	1447689	-	VNG0964C	COG2469S
hypothetical protein VNG0965C 	735910	736773	-	287	15790084	1447690	-	VNG0965C	COG2469S
hypothetical protein VNG0966G 	736840	737544	-	234	15790085	1447691	cheR	VNG0966G	COG1352NT
chemotaxis protein 	737643	738110	-	155	16554481	1449033	cheD	VNG0967Gm	COG1871NT
hypothetical protein VNG0969H 	738107	739246	-	379	15790087	1447692	-	VNG0969H	COG1776NT
CheC1 	739248	739835	-	195	15790088	1447693	cheC1	VNG0970G	COG1776NT
hypothetical protein VNG0971G 	739838	741844	-	668	15790089	1447694	cheA	VNG0971G	COG0643NT
hypothetical protein VNG0973G 	741846	742889	-	347	15790090	1447695	cheB	VNG0973G	COG2201NT
hypothetical protein VNG0974G 	742886	743248	-	120	15790091	1447696	cheY	VNG0974G	COG4753T
CheW1 	743295	743831	-	178	15790092	1447697	cheW1	VNG0976G	COG0835NT
hypothetical protein VNG0978H 	743896	744489	-	197	15790093	1447698	-	VNG0978H	-
hypothetical protein VNG0979H 	744606	745511	+	301	15790094	1447699	-	VNG0979H	-
hypothetical protein VNG0981C 	745648	746763	+	371	15790095	1447700	-	VNG0981C	COG0436E
hypothetical protein VNG0982C 	746843	747133	+	96	15790096	1447701	-	VNG0982C	COG1873S
hypothetical protein VNG0983C 	747151	748605	-	484	15790097	1447702	-	VNG0983C	COG0618R
hypothetical protein VNG0985H 	749392	751398	+	668	15790098	1447704	-	VNG0985H	COG1378K
hypothetical protein VNG0986H 	752276	752803	+	175	15790099	1447705	-	VNG0986H	-
hypothetical protein VNG0987H 	753131	753547	+	138	15790100	1447706	-	VNG0987H	-
hypothetical protein VNG0988H 	754149	754391	+	80	15790101	1447707	-	VNG0988H	COG3815S
hypothetical protein VNG0989C 	754459	755481	-	340	15790102	1447708	-	VNG0989C	COG4974L
hypothetical protein VNG0990H 	756010	756183	+	57	15790103	1447709	-	VNG0990H	-
hypothetical protein VNG0991H 	756675	757016	-	113	15790104	1447710	-	VNG0991H	-
hypothetical protein VNG0992H 	757409	758119	-	236	15790105	1447711	-	VNG0992H	-
hypothetical protein VNG0993H 	758465	759277	+	270	15790106	1447712	-	VNG0993H	-
hypothetical protein VNG0994H 	759667	759870	-	67	15790107	1447713	-	VNG0994H	-
hypothetical protein VNG0995H 	760365	760553	+	62	15790108	1447714	-	VNG0995H	-
Boa4 	760682	762487	+	601	15790109	1447715	boa4	VNG0996G	COG3413R
Acs2 	762609	764612	+	667	15790110	1447716	acs2	VNG0997G	COG0365I
YajO2 	764619	765629	-	336	15790111	1447717	yajO2	VNG0998G	COG0667C
hypothetical protein VNG0999H 	765775	766044	-	89	15790112	1447718	-	VNG0999H	-
hypothetical protein VNG1000H 	766603	766812	+	69	15790113	1447719	-	VNG1000H	COG3205S
hypothetical protein VNG1001G 	766955	768538	-	527	15790114	1447720	guaB	VNG1001G	COG0516F
hypothetical protein VNG1002H 	768965	769882	+	305	15790115	1447721	-	VNG1002H	-
hypothetical protein VNG1003H 	769965	770189	+	74	15790116	1447722	-	VNG1003H	-
hypothetical protein VNG1005H 	770194	770406	-	70	15790117	1447723	-	VNG1005H	-
hypothetical protein VNG1006H 	770827	771546	+	239	15790118	1447725	-	VNG1006H	-
hypothetical protein VNG1007H 	771722	771925	-	67	15790119	1447726	-	VNG1007H	-
FlaA1a 	773360	773950	+	196	15790120	1447727	flaA1a	VNG1008G	COG1681N
FlaA2 	774034	774546	+	170	15790121	1447728	flaA2	VNG1009G	COG1681N
GTP cyclohydrolase III 	774736	775503	+	255	16554482	1449034	-	VNG1011Cm	COG2429S
hypothetical protein VNG1012H 	775533	775805	+	90	15790123	1447729	-	VNG1012H	COG0695O
Htr13 	775802	777073	-	423	15790124	1447730	htr13	VNG1013G	COG0840NT
YqjH 	777110	778453	+	447	15790125	1447731	yqjH	VNG1014G	COG0389L
hypothetical protein VNG1015H 	778446	778820	-	124	15790126	1447732	-	VNG1015H	-
hypothetical protein VNG1017H 	778857	779960	-	367	15790127	1447733	-	VNG1017H	COG0438M
Adh3 	780246	782048	+	600	15790128	1447734	adh3	VNG1018G	COG0656R
hypothetical protein VNG1020C 	782045	782896	+	283	15790129	1447735	-	VNG1020C	COG0558I
GTP cyclohydrolase III 	782934	783695	+	253	15790130	1447736	-	VNG1021C	COG2429S
hypothetical protein VNG1023C 	783700	784716	+	338	15790131	1447737	-	VNG1023C	COG1063ER
hypothetical protein VNG1024C 	784713	785120	+	135	15790132	1447738	-	VNG1024C	COG0720H
hypothetical protein VNG1025H 	785117	785962	+	281	15790133	1447739	-	VNG1025H	-
hypothetical protein VNG1026H 	785972	786526	+	184	15790134	1447740	-	VNG1026H	-
triosephosphate isomerase 	786530	787174	-	214	15790135	1447741	tpiA	VNG1027G	COG0149G
hypothetical protein VNG1029C 	787221	787760	-	179	15790136	1447742	-	VNG1029C	COG1813K
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase 	787803	788402	-	199	15790137	1447743	pgsA	VNG1030G	COG0558I
hypothetical protein VNG1031C 	788399	788908	-	169	15790138	1447744	-	VNG1031C	COG1936F
HisC1 	788905	790092	-	395	15790139	1447745	hisC1	VNG1033G	COG0079E
hypothetical protein VNG1034H 	790091	790531	+	146	15790140	1447746	-	VNG1034H	-
hypothetical protein VNG1035C 	790599	792188	-	529	15790141	1447747	-	VNG1035C	COG2303E
hypothetical protein VNG1036H 	792185	792703	-	172	15790142	1447748	-	VNG1036H	-
2-hydroxyhepta-2,4-diene-1,7-dioate isomerase 	792760	793494	-	244	15790143	1447749	hpcE	VNG1037G	COG0179Q
hypothetical protein VNG1038C 	793607	794329	+	240	15790144	1447750	-	VNG1038C	COG2220R
hypothetical protein VNG1039H 	794483	795025	+	180	15790145	1447751	-	VNG1039H	-
hypothetical protein VNG1041H 	795133	795747	-	204	15790146	1447752	-	VNG1041H	-
hypothetical protein VNG1042H 	795777	796229	+	150	15790147	1447753	-	VNG1042H	-
hypothetical protein VNG1047H 	796243	796467	-	74	15790148	1447754	-	VNG1047H	-
hypothetical protein VNG1046H 	796466	796759	+	97	15790149	1447755	-	VNG1046H	-
UDP-glucose dehydrogenase 	796773	798053	-	426	15790150	1447756	udg1	VNG1048G	COG1004M
hypothetical protein VNG1050H 	798126	798476	-	116	15790151	1447757	-	VNG1050H	COG3269R
hypothetical protein VNG1052H 	798683	799369	+	228	15790152	1447758	-	VNG1052H	-
Gtl 	799383	800300	-	305	15790153	1447759	gtl	VNG1053G	COG0463M
polysaccharide biosynthesis protein 	800415	801842	+	475	15790154	1447760	ptp	VNG1054G	COG2244R
GraD4 	801935	802657	+	240	15790155	1447761	graD4	VNG1055G	COG1209M
hypothetical protein VNG1056C 	802721	803701	+	326	15790156	1447762	-	VNG1056C	-
hypothetical protein VNG1057C 	803726	805084	-	452	15790157	1447763	-	VNG1057C	COG3119P
hypothetical protein VNG1058H 	805308	806426	+	372	15790158	1447764	-	VNG1058H	COG1331O
hypothetical protein VNG1059C 	806499	807695	-	398	15790159	1447765	-	VNG1059C	COG0438M
hypothetical protein VNG1060H 	807925	808710	+	261	15790160	1447766	-	VNG1060H	-
RfbQ 	808831	809730	+	299	15790161	1447767	rfbQ	VNG1062G	COG1215M
hypothetical protein VNG1063H 	809745	810761	-	338	15790162	1447768	-	VNG1063H	-
hypothetical protein VNG1064H 	811152	812492	-	446	15790163	1447769	-	VNG1064H	-
hypothetical protein VNG1065C 	812621	813382	+	253	15790164	1447770	-	VNG1065C	COG2265J
hypothetical protein VNG1066C 	813372	814280	+	302	15790165	1447771	-	VNG1066C	COG1215M
ExoM 	814270	815256	-	328	15790166	1447772	exoM	VNG1067G	COG1215M
Tot 	815317	818580	+	1087	15790167	1447773	tot	VNG1068G	COG1287R
hypothetical protein VNG1069C 	818634	819524	+	296	15790168	1447774	-	VNG1069C	COG2035S
glycerol-3-phosphate dehydrogenase chain A 	819545	820756	-	403	16554483	1449035	gpdA1	VNG1070Gm	COG0578C
CinR 	820841	821197	-	118	15790170	1447775	cinR	VNG1071G	COG2512S
Lfl1 	821245	822726	-	493	15790171	1447776	lfl1	VNG1073G	COG0318IQ
YkfB2 	822719	823564	-	281	15790172	1447777	ykfB2	VNG1074G	COG4948MR
1,4-dihydroxy-2-naphthoate octaprenyltransferase 	823711	824646	-	311	15790173	1447778	menA	VNG1075G	COG1575H
OpuD 	824703	826337	-	544	15790174	1447779	opuD	VNG1077G	COG1292M
naphthoate synthase 	826509	827423	-	304	15790175	1447780	menB	VNG1079G	COG0447H
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase 	827496	829250	-	584	15790176	1447781	menD	VNG1081G	COG1165H
MenF 	829247	830572	-	441	15790177	1447782	menF	VNG1083G	COG1169HQ
YuiH 	830618	831214	-	198	15790178	1447783	yuiH	VNG1084G	COG2041R
hypothetical protein VNG1085H 	831377	831595	+	72	15790179	1447784	-	VNG1085H	-
hypothetical protein VNG1086C 	831651	831929	+	92	15790180	1447785	-	VNG1086C	COG1745R
hypothetical protein VNG1087C 	832010	833953	+	647	15790181	1447786	-	VNG1087C	COG1579R
hypothetical protein VNG1088C 	833972	834178	-	68	15790182	1447787	-	VNG1088C	COG3388S
adenylosuccinate synthetase 	834481	835803	+	440	15790183	1447788	purA	VNG1089G	COG0104F
hypothetical protein VNG1090H 	835854	836057	+	67	15790184	1447789	-	VNG1090H	COG2835S
hypothetical protein VNG1092C 	836666	837766	-	366	15790185	1447790	-	VNG1092C	-
hypothetical protein VNG1093C 	837766	838644	-	292	15790186	1447791	-	VNG1093C	COG2138S
hypothetical protein VNG1094H 	838735	839919	+	394	15790187	1447792	-	VNG1094H	COG2834M
hypothetical protein VNG1095H 	839927	840118	-	63	15790188	1447793	-	VNG1095H	-
hypothetical protein VNG1096H 	840223	840531	-	102	15790189	1447794	-	VNG1096H	-
hypothetical protein VNG1097G 	840757	842241	+	494	15790190	1447795	cysS	VNG1097G	COG0215J
hypothetical protein VNG1099C 	842300	843136	+	278	15790191	1447796	-	VNG1099C	COG3403S
hypothetical protein VNG1100C 	843129	843680	+	183	15790192	1447797	-	VNG1100C	COG1335Q
hypothetical protein VNG1101C 	843690	844934	-	414	15790193	1447798	-	VNG1101C	COG1784S
50S ribosomal protein L12P 	845055	845399	-	114	15790194	1447799	rpl12p	VNG1103G	COG2058J
acidic ribosomal protein P0 	845405	846463	-	352	15790195	1447800	rplP0	VNG1104G	COG0244J
50S ribosomal protein L1P 	846465	847103	-	212	15790196	1447801	rpl1P	VNG1105G	COG0081J
50S ribosomal protein L11P 	847304	847795	-	163	15790197	1447802	rpl11p	VNG1108G	COG0080J
hypothetical protein VNG1110C 	847866	848072	-	68	15790198	1447803	-	VNG1110C	-
Drg 	848173	849285	+	370	15790199	1447804	drg	VNG1111G	COG1163R
hypothetical protein VNG1112H 	849289	849699	+	136	15790200	1447805	-	VNG1112H	-
Glo1 	849749	850534	+	261	15790201	1447806	glo1	VNG1114G	COG0346E
hypothetical protein VNG1115H 	850650	851024	+	124	15790202	1447807	-	VNG1115H	COG1720S
diphthine synthase 	851026	851874	-	282	15790203	1447808	lds	VNG1118G	COG1798J
hypothetical protein VNG1117C 	851896	852879	+	327	15790204	1447809	-	VNG1117C	COG2520R
hypothetical protein VNG1119H 	853114	853365	+	83	15790205	1447811	-	VNG1119H	-
hypothetical protein VNG1120H 	853418	853894	-	158	15790206	1447812	-	VNG1120H	COG4276S
AspC2 	853986	855161	+	391	15790207	1447813	aspC2	VNG1121G	COG0436E
transcription regulator 	855154	855582	-	142	16554484	1449036	TRH7	VNG1123Gm	COG1522K
KorB 	855719	856657	-	312	15790209	1447814	korB	VNG1125G	COG1013C
KorA 	856660	858582	-	640	15790210	1447815	korA	VNG1128G	COG0674C
hypothetical protein VNG1130H 	858687	858911	-	74	15790211	1447816	-	VNG1130H	-
hypothetical protein VNG1131G 	858908	859939	-	343	15790212	1447817	mrp	VNG1131G	COG0489D
30S ribosomal protein S13P 	860275	860790	+	171	15790213	1447819	rps13p	VNG1132G	COG0099J
30S ribosomal protein S4 	860790	861302	+	170	15790214	1447820	rps4p	VNG1133G	COG0522J
30S ribosomal protein S11P 	861309	861692	+	127	161349982	1447821	rps11p	VNG1134G	COG0100J
DNA-directed RNA polymerase II 	861696	862442	+	248	15790216	1447822	rpb3	VNG1136G	COG0202K
50S ribosomal protein L18e 	862694	863047	+	117	15790217	1447824	rpl18e	VNG1137G	COG1727J
50S ribosomal protein L13P 	863044	863481	+	145	15790218	1447825	rpl13p	VNG1138G	COG0102J
30S ribosomal protein S9P 	863475	863873	+	132	16554485	1449037	rps9p	VNG1139Gm	COG0103J
DNA-directed RNA polymerase subunit N 	863886	864086	+	66	15790220	1447826	rpoN	VNG1140G	COG1644K
DNA-directed RNA polymerase subunit K 	864089	864271	+	60	15790221	1447827	rpoK	VNG1141G	COG1758K
phosphopyruvate hydratase 	864273	865469	+	398	15790222	1447828	eno	VNG1142G	COG0148G
30S ribosomal protein S2 	865466	866215	+	249	15790223	1447829	rps2P	VNG1143G	COG0052J
hypothetical protein VNG1144H 	866282	867124	-	280	15790224	1447830	-	VNG1144H	-
mevalonate kinase 	867210	868202	+	330	15790225	1447831	mvk	VNG1145G	COG1577I
hypothetical protein VNG1148G 	868199	868936	+	245	15790226	1447832	argB	VNG1148G	COG1608R
metallo-beta-lactamase superfamily hydrolase 	869155	870501	+	448	16554486	1449038	-	VNG1149Cm	COG0595R
IdsA 	870501	871544	+	347	15790228	1447833	idsA	VNG1150G	COG0142H
hypothetical protein VNG1151H 	871623	871844	+	73	15790229	1447834	-	VNG1151H	-
glutamyl-tRNA synthetase 	871960	873720	+	586	15790230	1447835	gltX	VNG1153G	COG0008J
hypothetical protein VNG1154H 	873734	874207	-	157	15790231	1447836	-	VNG1154H	-
Hsp3 	874233	876539	-	768	15790232	1447837	hsp3	VNG1156G	COG1444R
